Descriptor,Aliases,DUNS
CryptoPlus SE,Hoffmann AHG SE|Occopirn Capital SE,341814581
Crystal Clear Publications,,295262661
Cukurova Universitesi Ziraat Fakultesi,,
Culp Inc,"Read Window Products, Inc|CULP INC|eLuxury",061798369
Curaegis Technologies Inc,"Torvec , Inc.|TORVEC INC",016818945
Curalife Ltd,,
Cushman & Wakefield,"Quality Solutions|DTZ HLDG PLC|Cushman & Wakefield Sonnenblick Goldman|Royal LePage Commercial Inc|D T Z DEBENHAM THORPE|DEBENHAM TEWSON & CHINNOCKS LTD|DTZ Barnicke|Gibson Developments Partners (Gibson Realty Group)|Jean Thouard Habitations Residentielles|Healey & Baker|Wright Property Group|DTZ Debenham Thorpe Zadelhoff|20 VIC Management Inc|C & W|DEBENHAM TEWSON RESIDENTIAL LTD|Thalhimer|Multi Housing Advisors|ROI Realty Partners|Smith Brothers Group|DTC SERVICES LTD|Cowen Commercial, LLC|Sonnenblick Goldman Corp|D T Z JEAN THOUARD|DTZ Zadelhoff Holding AG|Cushman & Wakefield Echinox|Property Tax Resources|DTZ Deutschland Holding AG|Cushman & Wakefield Asia|Debenham, Tewson & Chinnocks|J.J. Barnicke Ltd|كوشمان و ويكفيلد|Ashlar Urban Realty Inc|Cushman & Wakefield Healey & Baker|Cushman and Wakefield Inc|Donaldsons LLP|ACTIV Consulting|DEBENHAM TEWSON & CHINNOCKS CHARTERED SU|Morton G. Thalhimer Inc|DEBENHAM TEWSON CHINNOCKS|CUSHMAN & WAKEFIELD|Cassidy Turley|DTZ Iberica Asesores Immobiliarios Internacionales SA|Reponse|كوشمان اند ويكفيلد|Cavada King SA|Hodnett Martin Smith Ltd|DEBENHAM TEWSON & CHINNOCKS BUILDING SUR|C&W|Massey Knakal Realty Services Inc|Gibson Realty Group|DEBENHAM TEWSON CHESSHIRE LTD|Colvill Office Properties LP|DTZ Jersey Holdings Limited|Cassidy Turley Inc.|C&W/H&B|DTZ Research|C & W / H & B|DTZ Holdings PLC|DT & C LTD|Grant Street Associates, Inc.|Cushman & Wakefield Inc|EnSite Solutions, LLC|Dzap Holding B.V.|Silver Oak Advisors, LLC|DTZ Echinox|DTZ Sweden|Grant Street Associates|DEBENHAM TEWSON RESEARCH|Cushman & Wakefield Commerce|Cushman & Wakefield PLC|DEBENHAM THORPE|كوشمان ويكفيلد|DEBENHAM TEWSON LTD|Taylor & Mathis of Florida, LLC|DTZ Jean Thouard|Pinnacle Property Management Services, LLC|Debenham Tewson & Chinnocks Holdings PLC|Magma HC",298855370
CyberShift Inc,,014125632
CyberTrader Inc,,137601113
"Cybird Holdings Co., Ltd.",サイバードホールディングス|ジモス|サイバード|CYBIRD Holdings Company Limited|Cybird Holdings Co Ltd|株式会社サイバードホールディングス|Jimos Co Ltd,694334504
Cycle Capital Management Inc.,,255095291
Cyclopharm Ltd,Medicall Analys AB,754191026
Cynosure Inc,"Palomar Medical Technologies Inc|Ellman International Inc.|Cynosure, Inc.",780318028
Cyprus Securities and Exchange Commission,لجنة الاوراق المالية والبورصات في قبرص|CySEC|Securities and Exchange Commission of Cyprus|Cyprus Securities & Exchange Commission|Комиссия по ценным бумагам и биржам Кипра|Cypriot Securities and Exchange Commission|Кипрская комиссия по ценным бумагам и биржам|Comisión de bolsa y valores de Chipre|لجنة الاوراق المالية والبورصات القبرصية,565486079
Cyprus Stock Exchange,塞浦路斯證券交易所|CSE|Cyprus's stock exchange|塞浦路斯证券交易所,565404782
D&W Fine Pack LLC,C&M Fine Pack|Wilkinson Industries Inc|Dispoz-o Products Inc.,015305799
D'Amante SpA,Damante Spa,447151309
D'Hondt SA,,
D. Cloostermans-Huwaert,,
D.P. Abhushan Ltd.,DP Jewellers|D.P. Jewellers|D.P. Abhushan,860518408
DABUR FINANCE LTD,,650643356
DANISH QUALITY FOODS,,
"DARA BioSciences, Inc.","شركة دارا للعلوم البيولوجية|HemaSure Inc|Point Therapeutics, Inc.|دارا العلوم البيولوجية|HemaSure Inc.|Oncogenerix, Inc.",829400415
DAVID L SHAW,,387934342
DAVIS ROSE,,213289692
DC Wafers,,475290776
DE ZURIK INTERNATIONAL,,213186430
DE-STA-CO Industries,,
DEALER MARKETING SERVICES,,423300326
DEAP Capital Management & Trust PLC,DEAP Capital Management & Trust PLC|Deap Capital Management and Investment Trust PLC,565563277
DELCOUR VANHOUTTE,,283533644
DENEWOOD DEVELOPERS,,235453086
DENNIS AND ROBINSON,,216244442
DESIGN AND PLANNING ASSOCIATES,,210127285
DESK K INC,DESK K,690669130
DET ALM DANSKE EJEDOMSSELSKAB,,309686947
DEVONIA BAKERY PRODUCTS,,217497072
DFA Fertigungs und Anlagenbau,,332464379
DIGITAL DYNAMICS,DIGITAL DYNAMICS INC,217561379
DINASTY FURNITURE,,505519645
DIPIX SYSTEMS LTD,DIPIX TECHNOLOGIES,241028943
DL E&C Co Ltd,"디엘이앤씨(주)|디엘 E&C|DL이앤씨|디엘이앤씨|DL E&C CO., LTD.|디엘건설",695097700
DMI Industries Inc.,DMI Canada Inc|DMI Industries Inc.,037343191
DMI Technology Inc,DMI TECHNOLOGY INC,255372039
DNIB Unwind Inc,"BIND Therapeutics, Inc.|Bind Biosciences, Inc.|Bind Biosciences",787043632
DOMINICAN FINANCE,,664271819
DORLUX BEDS (HALIFAX),,212233836
"DOROZHNYE REMONTNYE TEKHNOLOGII, SURGUTSKOE Municipal Municipal Unitary Enterprise",,
DORSTROISERVIS OOO,,
DOUBLE D BAKERY ENGINEERING,,215849043
DPAC Technologies Corp,DENSE PAC MICROSYSTEMS|DENSE PAC|Dense Pac Microsystems Inc.|Dense-Pac Microsystems Inc.|DENSE PAC MICROSYSTEMS INC|DensePac Microsystems Inc.,018601930
DPIL Ltd,Darjeeling Plantation Industries Ltd.,918601600
DR ADAMS UND PARTNER,,327397493
DRAS AEROSERVICE GMBH,,313583619
DREAM MERCHANTS,,520248659
DRS Advertising,DRS ADVERTISING,296212764
DSC Logistics,Dry Storage Corp|CJ Logistics Canada|CJ Logistics USA,626442750
DSM Appliance Inc,,
DT Dobie & Co Ltd,,644505307
"DTS, Inc.","DTS Japan|Manzanita Systems|Digital Booking Systems|Arctic Palm Technology, Inc.|DTS Europe|SRS Labs Inc|All In Media Ltd|Digital Theater Systems Inc|iBiquity Digital Corp|DTS, Inc.",799241476
DUFF GORDON,,238585491
DUKE HAYWARD,,368344958
DUTTON MOORE ATKIN GILBERT,,769847989
DWR,,458307659
DYCO INDUSTRIES,,760593988
DZG Holding GmbH,DZG Vohrenbach|DZG Suisse|DZG Deutsche Zaehlergesellschaft|DZG Deutsche Zahlergesellschaft|Deutsche Zahlergesellschaft Oranienburg|DZG Voehrenbach|Stepper Energie France|DZG Polska|Deutsche Zaehlergesellschaft Oranienburg,314828690
Daaquam Lumber Maine Inc,,
Dachpol Sp Z O O,,
Daewoo Pakistan Express Bus Service Ltd,Daewoo Express,645480869
Daifuku (China) Automation Co. Ltd.,,
Daitron Inc,,
Daiwa Co Ltd,大和|株式会社 大和,690881537
Daiwa ETF Japan Nikkei225 Double Inverse Index,,
Dales Marine Services Limited,,
Dalian Sugar & Wine Wholesale Exchange Market Elegant Daily-Use Department Store Sales Department,,
Dalian Sun Asia Tourism Holding Company Limited,大連聖亞旅遊控股股份有限公司|Dalian Shengya Ocean World Company Limited|大連聖亞旅游控股股份有限公司|Dalian Shengya Tourism Holding Company Limited|Shengya Tourism Holding Company Limited|聖亞旅遊控股股份有限公司|大连圣亚旅游控股股份有限公司|聖亞旅游控股股份有限公司|大連聖亞海洋世界股份有限公司|圣亚旅游控股股份有限公司|Shengya Ocean World Company Limited|大连圣亚海洋世界股份有限公司,545265209
Dalic,,771887064
DalsSpira Mejeri AB,,554442343
Dambach Lagersysteme Gmbh & Co Kg,,314790572
Damon Corp,DAMON CORP,115297400
Damptech AS,DAMPTECH APS,306753430
Daniels-Sheridan Federal Credit Union,Daniels Sheridan Federal Credit Union,169932266
Danish Air Transport,Norra|Nordic Regional Airlines AB,305640021
Danoptra Ltd,Gamestec Leisure Ltd|QPS Interactive|Danoptra Holdings Ltd|Bell-Fruit Games Ltd|Rank Leisure Machine Services Ltd|Leisure Connection|Mazooma Games|KUNICK PLC|Bell Fruit Group|Danoptra Limited|3G Gaming|Bell Fruit Games Ltd,424081698
Danube Pharmaceuticals Inc.,,011495945
Darcy Products Ltd,,
Darien Energy Ltd,,244394854
Dat Xanh Group Joint Stock Company,ダットサイン建設不動産サービス株式会社|CTCP Tập đoàn Đất Xanh|ダットサイングループJSC|ダットサイン建設不動産サービス|Dat Xanh Real Estate|DAT XANH|Công ty Cổ phần Dịch vụ và Xây dựng Địa ốc Đất Xanh,555306235
Data Consulting Group Inc,,785801804
Data Group Finland Oy,,539941625
Data Logic,Tay|Beep|Vobis Microcomputer SA,460207905
Datacube,,087143731
Datamonitor Ltd,Marketworks Pty. Ltd.|DATAMONITOR EUROPE|Pack-Track Limited|Energyfiles Ltd|Datamonitor PLC|Life Sciences Analytics Inc|Ovum PLC,500285556
Datastick Systems Inc,,170744754
Datian County Antian Scrap Materials Recycling Co. Ltd.,,
Datran Media L.L.C.,"Allvoices, Inc|Datran Media LLC",144005209
"Datto, Inc.",Open Mesh|Autotask Corporation|Paradeon Technologies Ltd|Backupify Inc.|Gluh Pty Ltd,022951348
Davicom Semiconductor Inc,,
David Boland,,070442132
David Bowden & Associates,,212413046
David Clark Company,,001128537
David Evans & Associates Inc,Hall & Foreman,086612439
David Powell Inc,,082910928
Davis Pickering & Company Inc.,,
"Dawnay, Day International Limited","Dawnay, Day Group|Dawnay Day Group|Karstadt Kompakt GmbH & Co. KG|Dawnay Day Hotels India Pvt Ltd|DAWNAY DAY AND CO LTD|Dawnay, Day Hotels India Pvt Ltd|Hertie GmbH",210080578
Day Spas of America Inc,,781549196
Daybreak Game Company,Sony Online Entertainment LLC,780595794
"Daylight Solutions, Inc.",,189790913
Dazhen Chinese Medicine Co. Ltd.,,
De Camp Bus Lines Inc,,
De Smith Feiner Ltd,,397172271
DeFelsko Corporation,,
Deccan Health Care Limited,Deccan Health Care Private Ltd.|Deccan HealthCare|Deccan Healthcare Private Limited,916765659
Dedeman Madencilik Sanayi ve Ticaret AS,Dedeman Madencilik San.ve Tic.A.Ş.,600789288
Defense Health Agency,"DOD, Defense Health Agency|dha|Defence Health Agency|TMA",026700448
Delme Klinikum Delmenhorst Gmbh,,
Deloitte & Touche Chartered Accountants,,
Delta & Pine Land Co,DELTA & PINE LAND CD & PL|DELTA & PINE LAND CO|Delta and Pine Land Company,006964845
Delta Galil Industries Ltd,Delta Galil Europe Ltd|Ella Moss|مصنع دلتا الجليل|The Bogart Group|Eminence SAS|Delta Galil Gruppe|Bogart Group|Seven For All Mankind LLC|دلتا الجليل للصناعات|Gibor Sports Active Wear Ltd|شركة دلتا الجليل|دلتا جليل|Delta-Galil-Gruppe|P.J. Salvage|DELTA GALILEE INDUSTRIES LTD|Splendid|Gibor Sport Active Ltd.|DELTA GALIL INDUSTRIES INC|DELTA GALIL INDUSTRIES LTD,600007215
Delta Microsystems,P D C (PA),180675159
"Demdex, Inc.",,013671774
"Den-en Urban Co., Ltd.",田園都市,690861489
Denmark Ministry of Higher Education and Science,Danish Ministry of Science|Danish Ministry for Science|Uddannelses- og Forskningsministeriet|وزارة التعليم العالي الدانماركية|Danish Ministry of Higher Education and Science|Ministerium für Wissenschaft|Denmark's Ministry of Higher Science and Education|وزارة التعليم العالي الدنماركية,310747126
Dental Health Alliance L.L.C.,,943952820
Department of Information and Communications Technology,Philippines Department of Information and Communication Technology|The Department of Information and Communications Technology (DICT)|DICT,723796306
Depository Trust & Clearing Corp,Depository Trust Company|European Central Counterparty Ltd.|Omgeo LLC|Emerging Markets Clearing Corp|Euro CCP|DTCC|Avox Limited|EuroCCP|Euro-CCP|National Securities Clearing Corp|Depository Trust and Clearing Corp|The Depository Trust & Clearing Corp|Government Securities Clearing Corporation,073249799
Derimod Konfeksiyon Ayakkabi-Deri Sanayii Ve Ticaret AS,Derimod A.S.|Derimod Konfeksiyon Ayakkabi Deri Sanayii,644399040
Design Development NYC Inc.,,045141232
DesignArt Networks Ltd.,,514911648
Desos Dizayn Dekorasyon Mobilya Insaat Sanayi Ve Ticaret Anonim Sirketi,,
Destebasi Grup Insaat Sanayi Ve Ticaret Anonim Sirketi,,
Destini Bhd,Satang Jaya|德斯迪尼|萨当再也|Destini有限公司|Satang Holdings Bhd|Satang Jaya Holdings Bhd|Satang Jaya Holdings|Samudra Oil Services Sdn Bhd|德斯迪尼有限公司|薩當再也|Destini Bhd|德世狄尼,894474951
Deutsches Institut für Wirtschaftsforschung e.V.,Deutschen Institut für Wirtschaftsforschung|German Institute of Economic Research|German Institute for Economic Research|Deutschen Instituts für Wirtschaftsforschung|IW German economic research institute|German Economic Research Institute (DIW)|DIW Berlin,321414351
Devine Ltd,,758848550
Devoteam SA,Devoteam Solutions|Paradigmo|Devoteam Telecom&Media|Devoteam Consulting|New Bic|Apogee Communications|Alegri International Service|Devoteam Group|Devoteam Telecom and Media|Guidance|Jayway Holding AB|Fourcast|Fitec|XP Conseil|Devoteam Davinci AS|Bold International|Devoteam T&M|Devoteam Telecom & Media|Materna Information Systems s.r.o.|Ysance|ALFUN|Asthea Ingenierie|daVinci|Siticom Group|Nubalia Cloud Computing|Jayway AB|Inviso,494169089
Dewan Textile Mills Ltd,,645352543
Dfs Venture Singapore (Pte) Limited,,
Dhanleela Investments & Trading Co. Ltd.,Ratni Investments Company Limited|Ratni Investments Company,871796878
Dhatu Sanskar Ltd,,650402290
Diagnosticos da America S.A.,Furlanetto|LabPasteur|Minas Gerais network Sao Marcos|MedLabor Medicina Laboratorial|Laboratorio Imuno Ltda|Lamina|Delboni Auriemo|MedImagem|Club DA|Dasa|Elkis|Lavoisier|Santa Casa|Diagnósticos da América (Dasa)|Curitiba Santa Casa|Cerpe Diagnósticos|Bronstein|Clinica Medica Vita|Laboratorio Atalaia|Diagnostico Maipu por Imagenes S.A.,899246763
Diamondback Tactical LLLP,First Choice Armor & Equipment,102388969
Dianor Resources Inc,Kimex Resources|Ressources Dianor Inc.,256737628
Dieselave,,293291829
Digitalbox PLC,Mashed Productions Limited|PLUS Markets Group PLC|The Daily Mash|OFEX Holdings Plc|Daily Mash|Polemos PLC,733329481
Digitales Rezept Zentrum Gmbh,,
Din Textile Mill Ltd,,645372038
Dinh Vu Port Investment And Development Joint Stock Company,,555321764
Diocese Of Western Mass Of Episcopal Protestant Church Inc,,
Diok One AG,ConValue AG,332778997
Dion Vandewiele NV,Van De Wiele|Vandewiele NV,283146470
Direccion De Red De Salud Alto Amazonas,,
Direccion Regional De Salud Region I Metropolitana,,
Direct Media Group,,
Disc Technology Corp,,050608090
Discovery Biosciences Inc.,,126838759
Discovery Plastics L.L.C.,,
Disenco Energy PLC,Disenco Ltd,348709846
Disperse Group PLC,,
"Distribuidora Hormann Durr, C.A.",Distribuidora Hormann Dürr|Distribuidora HDCA,885397745
Dividend Development a.s.,Tehelna Martin a.s.,495210478
Divine Entertainment Ltd,Denim Enterprises Ltd,916292191
Diviso Grupo Financiero SA,Diviso Grupo Financiero S.A.|Negocios Contactos y Finanzas - Inversiones SA|NCF Inversiones SA,953153632
Dixon Public School District 170,,
Dixons Of Westerhope Limited,,
DnB NOR Monchebank OAO,Мончебанк|Monchebank|OAO DnB NOR Monchebank OAO|JSC Monchebank,365948459
Dnp Book Factory Co. Ltd.,,
Dolomite Corporation Berhad,Dolomite Corp Bhd|云石机构|Sunway Building Technology Bhd|雲石機構|雲石機構有限公司|云石机构有限公司,652206798
Domingos Costa Industrias Alimenticias S/A,,897990388
Donahue Schriber Realty Group Inc.,Alamo Plaza|Progress Ridge TownSquare,076048214
Donell Verwaltungsges. Mbh,,
Donenfeld Group Inc,,108917753
Dong Nai Material And Building Investment Joint Stock Company,Dong Nai Material And Building Investment JSC|Dong Nai Material & Building Investment Joint Stock Company|Dong Nai Material & Building Investment JSC|Dong Nai Material And Building Investment Joint Stock Company,555249566
Dong Phu Rubber Joint Stock Company,Doruco,555297394
Dongfeng Peugeot Citroen Automobile Co Ltd,神龙汽车有限公司|Dongfeng Citroen Automobile|神龍汽車有限公司|Dongfeng-Citroen Automobile Co|Dongfeng Peugeot|東風標致有限公司,653931709
Dongguan Best Smile Co. Ltd,,
Dongguan Qianyutian Electronic Co. Ltd.,,
Dongguan Qingfeng Environmental Protection Engineering Co. Ltd.,,
Donghua Testing Technology Co. Ltd.,"東華測試股份有限公司|Jiangsu DongHua Testing Technology Co., Ltd.|东华测试股份有限公司|DongHua Testing Technology Co., Ltd.|江苏东华测试股份有限公司|江蘇東華測試股份有限公司",547927921
Dongjiang Environmental Co Ltd,東江環保股份有限公司|深ｾﾝ市東江環保股ﾌﾝ有限公司|深圳市東江環保股份有限公司|Shenzhen Dongjiang Environmental Company Limited|深圳市东江环保股份有限公司|Dongjiang Environmental Company Limited|Dongjiang Env (08230)|东江环保股份有限公司|東江環保股ﾌﾝ有限公司|Dongjiang (08230),544957871
Dongwon Systems Corp,동원티앤아이|동원건설산업|Daihan Eunpakgy Co Ltd|Eastel Systems Corp|Sungmi Telecom Electronics Co.|한진P&C|성미전자|SUNGMI TELECOM|Sung Mi Telecom Electronics Co.|대한은박지|SUNGMI TELECOM ELECTRONICS|Dai han Eunpakgy Co Ltd|Techpack Solutions|이스텔시스템즈|Dongwon Systems Corp|동원시스템즈 주식회사|Hanjin P&C Co Ltd|Ardagh Metal Packaging American Samoa Inc.|한진피앤씨,687778563
Dongying Dadi Grain & Oil Co. Ltd.,,
Donkeyrepublic Holding A/S,,305497847
Dopravoprojekt as,Dopravoprojekt Bratislava,366925550
Dorozhnaya Sluzhba Gup,,
Dougherty & Co LLC,Dougherty Mortgage LLC|Dougherty Funding LLC|Dougherty Wealth Advisers LLC,093912509
Douja Promotion Groupe Addoha,الضحى العقارية|Addoha|مجموعة الضحى العقارية|DPGA|مجموعة الضحى|Le Groupe Addoha,954576513
Douwe Egberts Czech Republic S.R.O.,,
Dover Chemical Corporation,,004210563
Dragon Bright Mintai Botanical Technology (Cayman) Ltd.,Dragon Bright Mintai Botanical Technology Ltd.|龙辉闽台高科技植物有限公司|DRAGON BRIGHT MINTAI BOTANICAL TECHNOLOGY CAYMAN LTD|龍輝閩台高科技植物有限公司,663648706
Drees & Sommer AG,Drees und Sommer AG,343200507
"Drina River Bridge Corporation a.d., Beograd",,360266230
Druzhba Ltd,"ООО КБ ""Дружба""",499177628
Druzhkivskiy Zavod Metalevyh Vyrobiv,ДРУЖКОВСКИЙ ЗАВОД МЕТАЛЛОИЗДЕЛИЙ|Druzhkivskyi Zavod Metalevyh Vyrobiv VAT|Дружковский завод металлоизделий (Донецкая область),364540467
Du Pont-MRC Co Ltd,エムアールシー・デュポン|Du Pont MRC Co Ltd|MRC・デュポン,690746862
Dubai Aerospace Enterprise Ltd.,"Piedmont Hawthorne Holdings, Inc|DAE Funding LLC|迪拜航空企業集團|شركة دبي لصناعات الطيران|AWAS Aviation Capital Ltd.|DAE|DAE - Dubai Aerospace Enterprise|Dubai Aerospace Enterprises|Dubai Aerospace Enterprise Capital|迪拜航空企业集团|دبي لصناعات الطيران المحدودة|DAE Capital|DAE Engineering|Dubai Aerospace Enterprise|DAE University|DAE Services|DAE Airports|flugwerkzeuge aviation software|DAE Manufacturing|Jordan Aircraft Maintenance Limited",561439936
Dubai Holding Group Llc,,
Dublin Management Associates Of New Jersey Inc,,
Dubreuil,French Bee|Air Caraibes Atlantique|Groupe Dubreuil|Air Caraibes,382451615
Dudley Iron & Steel Co. Ltd.,,348022112
Dunphy Combustion Ltd,,212614291
Dunyalar Rc Algerie,,
Dupuy Silo Facility L.L.C.,,
Dura Vermeer Groep NV,BOUW EN AANNEMINGSMAT'J VERMEER|Van Ieperen Groep|DuraVermeer|Bouw en Vastgoed,403285641
"Durata Therapeutics, Inc",Vicuron Pharmaceuticals Inc.,078520687
Durham Marketing Corp.,"New Systems Inc|New Systems Inc.|Municipal Systems Inc|Tremor Entertainment Inc.|Tremor Entertainment, Inc.|New Systems, Inc.|Municipal Systems, Inc",085596877
Dynamic Life SA,,499585029
Dynamics Research Corporation,"Kadix Systems LLC|High Performance Technologies, Inc|DYNAMICS RESH CORP",001014182
Dynastar Inc,Santa Rita Enterprises Inc.|Harvie Instruments Ltd.,255311367
"DzhiTiEm - Grup (Liquidator Appointment), Liquidation Committee Limited Liability Company OOO",,
E & J Press Tools,,774906283
E Fund Yuanta Hang Seng Index Daily (2x) Leveraged Product,,
E Media Holdings Ltd.,Seardel Investments Corporation Ltd|Prima Toy & Leisure Group|Frame Group Ltd.|SEARDEL INVESTMENT CORP LTD|Consolidated Frame Textiles Ltd.|Feltex Limited|Romatex Ltd.|Seartec Ltd.|eMedia Holdings Limited|Confram,538487703
E&D Co Ltd,"주식회사 이엔드디|(주)이엔드디|E&D Co Ltd|이엔드디|E & D CO.,LTD.|E&D Solutions Inc|㈜이엔드디",690304576
E-Transport Carriers Llc,,
E-mart Co Ltd,Shinsegae Food Co Ltd|E-mart Co. Ltd.|易买得|주식회사 이마트|㈜이마트|(주)이마트|易買得|이마트|E-Mart Incorporated,557806460
EBONY AND IVORY TOURS LTD,,769265638
EC Mitchell,,015115801
ECGC Ltd.,Export Credit Guarantee Corp. of India Ltd|Export Credit Guarantee Corporation of India Ltd|Export Credit Guarantee Corporation,862423225
EDANA,EDANA|Association of the European Nonwoven Industry,491523882
"EDIA - Empresa de Desenvolvimento e Infraestruturas do Alqueva, S. A.",Empresa de Desemvolvimento e Infraestruturas do Alqueva SA|EDIA SA,455239020
EDITORIALE MANTOVANA,,366664787
EDP - Energias do Brasil SA,EDP Brasil|EDP-Brasil|EDP Energías do Brasil|Energias do Brasil SA|Energest S/A,906716923
EGH Ltd,,293745790
EHG Verwaltungs-GmbH,EHG Elektronik-und Haushaltsgeraete Entsorgungs-und Recycling GmbH,327436262
EIM Controls,E-I-M Company Inc,008082240
EKO OOO,,
EKO-OZE S.A.,Dent-A-Medical S.A.,524849619
ELECTRONIC POULTRY AIDS,,217206549
EMERGING MARKETS CO LTD,,751604935
EMIS Group PLC,Dovetail Digital Limited|Indigo 4 Systems Ltd|Egton Medical Information Systems Limited|EMIS Group Ltd|EMIS Care|Pinbellcom Group Ltd|Rx Systems Ltd.|Digital Healthcare Limited|MIDRSS Limited|Pinnacle Systems Management|Pinnacle Health Partnership|Medical Imaging (UK) Limited|FourteenFish,211150059
EMK Capital GP LLP,"Cardo Systems, Ltd.|eGISS A/S|Trustonic Ltd|Reconomy Group Ltd.|Casepak|Bright Data Ltd.|GAE Smith Holdings Ltd.",221510206
EMS-Chemie Holding AG,Axantis Holding AG|EMS POLYLOY|EMS-Chemie (Neumuenster) GmbH|EMS TOGO|EFTEC NORTH AMERICA|Emser Industries|ENCORE ORTHOPEDICS|EMS-Grilon Holding Inc|EFTEC-Cipatex S.A.|EMS AMERICAN GRILON|EMS CHEMIE HOLDING|Nexis Fibers GmbH|EMS INVENTA|EMS PRIMID|EMS Grilon Holding Inc|EMS-Chemie France S.A.|EMS-Chemie (France) S.A.|EMS CHEMIE HOLDING AG|EMS CHEMIE|EMS CHEMIE AG|EMS TOGO HOLDING|EFAMOL NUTRACEUTICALS|EFTEC ASIA|EMS GROUP|EMS CHEMIE DEUTSCHLAND|EMS-Chemie (UK) Ltd|EMS PATVAG|EMS CHEMIE HLDG,480883099
EMnI Co Ltd,"KJ프리텍|㈜케이제이프리텍|Emni Company Limited|EMnI Co., Ltd.|(주)케이제이프리텍|㈜이엠앤아이|(주)이엠앤아이|이엠앤아이|KJ Pretech Company Limited|주식회사 이엠앤아이|주식회사 케이제이프리텍|케이제이프리텍",631032513
ENERGOSFERA OOO,,
ENGINEERING AND GENERAL EQUIPMENT,,211578117
ENTERPRISE LINER AGENCIES,,227076700
EPS Corporation,EPS Corp of Costa Mesa|Energy & Power Solutions Inc.|xChange Point|EPS Corp. of Costa Mesa|EPS Corporation|EPS Way,828285598
EPSILON RESEARCH,,293179644
EQL Pharma AB,,775182368
EQUIS GROUP,,759382187
ERA Products Limited,JE REYNOLDS|JE Reynolds and Co,535503114
EREMUE ASSOCIATES,,345737563
ERLER FASHION GMBH,,330172347
ES Energy Save Holding AB,ES Group|Energy Save AB,353140303
ESTec Corp,에스텍 주식회사,688019447
ETM OOO,,
EUROPEAN AND ENGLISH LAND,,503172785
EUROPEAN EXCHANGE TRADED FUND CO,,985133755
EWV Energie- und Wasser-Versorgung GmbH,Energie- und Wasser-Versorgung GmbH,315989319
EXFO Inc.,"Electro-Optical Engineering Inc.|Aito Technologies Oy|Electro Optical Engineering Inc.|ByteSphere LLC|Brix Networks Inc|エクスフォ・エレクトロ・オプティカル・エンジニアリング|Burleigh Instruments Inc|PicoSolve, Inc.|NetHawk Oy|エクスフォ・エレクトロ|InOpticals Inc.|EXFO Electro Optical Engineering Inc.|EXFO America Inc|Yenista Optics SAS|Ontology Systems|Consultronics Limited",245918966
EXPOSA,,305662991
EZcorp Inc,"Value Financial Services, Inc.|イージーコープ|EZPAWN Holdings Incorporated",602842502
Eagle Controls International Limited,,217435726
Eagle Pictures SpA,,430977710
East Land And Home Co. Ltd.,,
East Staffordshire Borough Council,East Staffordshire District Council|Council of East Staffordshire County|District Council of East Staffordshire|Council of East Staffordshire District|County Council of East Staffordshire|borough council of East Staffordshire|East Staffordshire County Council|Council of East Staffordshire borough,226778033
Eastern Cement,,092830694
Eastern Pulp & Paper Corporation,Eastern Paper|Eastern Fine Paper Inc|Eastern Pulp & Paper Corporation,790555825
Eaton Towers Holdings LLP,,216275716
Eaton's of Canada Ltd,EATON S OF CANADA,205532757
Ebisu Shoji K.K.,,
Echo Trading Co Ltd,ECHO TRADING CO|エコートレーディング|ECHO TRADING,690882808
Eco Depot Inc.,Development One Nanotechnologies and Energy Inc.,004254805
EcoGlass sro,,495004301
Ecu Worldwide (Japan) Ltd.,,
Eden Research PLC,,490066990
Education Development International plc,Peter Honey Publications Limited|Goal PLC|Global Online Assessment of Learning|Sector Training Limited,231851176
Edward Symmons & Partners,John Foord and Company|John Foord & Company|ES Group (Edward Symmons)|EDWARD SYMMONS & PARTNERS,230847600
Eesti Energia AS,Eesti Energia Kaevandused AS|AS Energoremont Grupp|Enefit Solutions|Narva Elektrijaamad|Eesti Energia Tehnoloogiatoostus|Energoremont|Enefit Taastuvenergia OU|Nordic Energy Link|ESTONIAN ENERGY|Nelja Energia AS|AS Nordic Energy Link|Enefit Energiatootmise AS|OU Pohivork|Eesti Energia Pohivork|Narva Power Plants|Imatra Elekter|Estonian Oil Shale Company|DSO|Solidus|Televork|Eesti Polevkivi,644988891
Eevia Health Oyj,,368507512
Efkleidis S.A.,Etane Eykleidis S.A.|Etane-Egleidis S.A.|Efklidis Technical SA|Etane Eukleidis S.A.|Etane-Eykleidis S.A.|Efklids Technical S.A.|Etane S.A.|Etane Egleidis S.A.|Efkleidis SA|Efkleidis Technical S.A.|Etane-Eukleidis S.A.|Efklidis Technical S.A.|Etane SA|ETP Services,643323058
Eifelhoehen-Klinik AG,Eifelhohen-Klinik AG|Aatalklinik Wünnenberg GmbH|EIFELHOEHEN KLINIK AG|EIFELHOHEN KLINIK,320304124
Eigenbetrieb GEspringWAsserSchmalkalden,,
Eisenwerk Bruehl GmbH,Eisenwerk Brühl GmbH,315032144
Eitaro Co Ltd,栄太郎|榮太郎,691616528
Eko medjumurje dd,,364716352
Eksons Corporation Bhd,億順機構|Chongai Corp Bhd|Eksons Corp Bhd|Eksons Corporation Bhd|亿顺机构,596269030
